filename,class
indoorCVPR_09/Images/gameroom/bt_132294gameroom2.jpg,gameroom
indoorCVPR_09/Images/poolinside/inside_pool_and_hot_tub.jpg,poolinside
indoorCVPR_09/Images/winecellar/bodega_12_11_flickr.jpg,winecellar
indoorCVPR_09/Images/casino/casino_0512.jpg,casino
indoorCVPR_09/Images/livingroom/living58.jpg,livingroom
indoorCVPR_09/Images/mall/4984307.jpg,mall
indoorCVPR_09/Images/corridor/pasilltmpo_t.jpg,corridor
indoorCVPR_09/Images/laboratorywet/laboratorio_quimica_07_05_altavista.jpg,laboratorywet
indoorCVPR_09/Images/bookstore/CIMG2743.jpg,bookstore
indoorCVPR_09/Images/casino/casino_0044.jpg,casino
indoorCVPR_09/Images/waitingroom/800px_VTBS_Waiting_room_of_Thai_Airways.jpg,waitingroom
indoorCVPR_09/Images/clothingstore/c0011.jpg,clothingstore
indoorCVPR_09/Images/garage/mso1012_FridgeBikes_aft_w609.jpg,garage
indoorCVPR_09/Images/prisoncell/territorial_prison_cell_block.jpg,prisoncell
indoorCVPR_09/Images/tv_studio/tv_studio_11_13_altavista.jpg,tv_studio
indoorCVPR_09/Images/inside_bus/inside_bus_024.jpg,inside_bus
indoorCVPR_09/Images/laboratorywet/wet_lab_10_17_altavista.jpg,laboratorywet
indoorCVPR_09/Images/videostore/videoclub_07_11_flickr.jpg,videostore
indoorCVPR_09/Images/grocerystore/Market5.jpg,grocerystore
indoorCVPR_09/Images/inside_bus/inside_bus_078.jpg,inside_bus
indoorCVPR_09/Images/bathroom/itoiletpaper.jpg,bathroom
indoorCVPR_09/Images/closet/458309322_42d901b9d8.jpg,closet
indoorCVPR_09/Images/laboratorywet/wet_lab_13_10_altavista.jpg,laboratorywet
indoorCVPR_09/Images/winecellar/cave_vin_10_10_altavista.jpg,winecellar
indoorCVPR_09/Images/jewelleryshop/Joyeria_Madrid_4.jpg,jewelleryshop
indoorCVPR_09/Images/restaurant_kitchen/restaurant_kitchen_google_0103.jpg,restaurant_kitchen
indoorCVPR_09/Images/airport_inside/airport_inside_0148.jpg,airport_inside
indoorCVPR_09/Images/church_inside/CH_Horgen_RefKirche.jpg,church_inside
indoorCVPR_09/Images/library/Homework2.jpg,library
indoorCVPR_09/Images/waitingroom/Waiting_Room_3.jpg,waitingroom
indoorCVPR_09/Images/classroom/Kindergarden_classroom.jpg,classroom
indoorCVPR_09/Images/laundromat/lavanderia_49_01_flickr.jpg,laundromat
indoorCVPR_09/Images/jewelleryshop/joyeria_44_18_altavista.jpg,jewelleryshop
indoorCVPR_09/Images/closet/458309564_4e61036dc8.jpg,closet
indoorCVPR_09/Images/inside_subway/inside_subway_0305.jpg,inside_subway
indoorCVPR_09/Images/winecellar/wine_cellar_24_10_altavista.jpg,winecellar
indoorCVPR_09/Images/gym/gym.jpg,gym
indoorCVPR_09/Images/fastfood_restaurant/DSC00472.jpg,fastfood_restaurant
indoorCVPR_09/Images/warehouse/warehouse_0116.jpg,warehouse
indoorCVPR_09/Images/hospitalroom/hospitalRoom2.jpg,hospitalroom
indoorCVPR_09/Images/warehouse/warehouse_0241.jpg,warehouse
indoorCVPR_09/Images/trainstation/gare_117_20_flickr.jpg,trainstation
indoorCVPR_09/Images/dining_room/d5.jpg,dining_room
indoorCVPR_09/Images/greenhouse/paghmist.jpg,greenhouse
indoorCVPR_09/Images/library/bibliothekfgd.jpg,library
indoorCVPR_09/Images/bar/bar_0026.jpg,bar
indoorCVPR_09/Images/bookstore/photo_magasin.jpg,bookstore
indoorCVPR_09/Images/closet/closet6_lg.jpg,closet
indoorCVPR_09/Images/dentaloffice/dentista_48_04_altavista.jpg,dentaloffice
indoorCVPR_09/Images/florist/florist_40_10_altavista.jpg,florist
indoorCVPR_09/Images/subway/subway_0344.jpg,subway
indoorCVPR_09/Images/gym/hotel_megeve_11.jpg,gym
indoorCVPR_09/Images/bakery/new_bakery_34_18_altavista.jpg,bakery
